Data = Sun, 19 May 2019 22:26:57 | IP = ('127.0.0.1', 65526) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:27:00 | IP = ('127.0.0.1', 65526) | URL = htdocs/public/ipsum.html
Data = Sun, 19 May 2019 22:27:02 | IP = ('127.0.0.1', 65526) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:27:40 | IP = ('127.0.0.1', 65530) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:27:44 | IP = ('127.0.0.1', 65530) | URL = htdocs/public/ipsum.html
Data = Sun, 19 May 2019 22:27:46 | IP = ('127.0.0.1', 65530) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:27:57 | IP = ('127.0.0.1', 65532) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:27:58 | IP = ('127.0.0.1', 65532) | URL = htdocs/public/ipsum.html
Data = Sun, 19 May 2019 22:27:59 | IP = ('127.0.0.1', 65532) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:28:00 | IP = ('127.0.0.1', 65532) | URL = htdocs/public/audio.html
Data = Sun, 19 May 2019 22:28:00 | IP = ('127.0.0.1', 65532) | URL = htdocs/audios/Lost_in_Space.mp3
Data = Sun, 19 May 2019 22:28:01 | IP = ('127.0.0.1', 65533) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:28:02 | IP = ('127.0.0.1', 65533) | URL = htdocs/public/video.html
Data = Sun, 19 May 2019 22:28:02 | IP = ('127.0.0.1', 65533) | URL = htdocs/videos/spider_man.mp4
Data = Sun, 19 May 2019 22:28:03 | IP = ('127.0.0.1', 49153) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:28:05 | IP = ('127.0.0.1', 49153) | URL = htdocs/public/images.html
Data = Sun, 19 May 2019 22:28:05 | IP = ('127.0.0.1', 49153) | URL = htdocs/images/image.png
Data = Sun, 19 May 2019 22:28:05 | IP = ('127.0.0.1', 49155) | URL = htdocs/images/cat.gif
Data = Sun, 19 May 2019 22:28:06 | IP = ('127.0.0.1', 49155) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:28:07 | IP = ('127.0.0.1', 49155) | URL = htdocs/public/form.html
Data = Sun, 19 May 2019 22:28:08 | IP = ('127.0.0.1', 49155) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:28:09 | IP = ('127.0.0.1', 49155) | URL = htdocs/private/file.html
Data = Sun, 19 May 2019 22:28:09 | IP = ('127.0.0.1', 49154) | URL = htdocs/index.html
